"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1667","Vepra letrare","Veli stafa","","rafte",""
"1668","Vepra letrare","Pashko Vasa","","rafte",""
"1669","Vepra letrare 1","Sterjo Spasse","3","rafte",""
"1670","Vepra letrare 2","Sterjo Spasse","2","rafte",""
"1671","Vepra letrare 3","Sterjo Spasse","2","rafte",""
"1672","Vepra letrare 4","Sterjo Spasse","1","rafte",""
"1673","Vepra letrare 5","Sterjo Spasse","2","rafte",""
"1674","Vepra letrare 6","Sterjo Spasse","2","rafte",""
"1675","Vepra letrare 7","","2","rafte",""
"1676","Antologjia e  mendimit shqiptar","Ndricim kulla","8","rafte",""
"1677","Lufta antifashiste ncional clirimare ne gramsh e me gjere","Kadri Musai","1","rafte",""
"1678","Transformimi I medias dhe kujtesa kolektive ne Shqiperi","Jonila Gadole,","2","rafte",""
"1679","Ceshtja Shqiptare,Riformesimi I ballkanit","James Petrifer,Miranda Vickers","5","rafte",""
"1680","Antalogji per Skenderbene","Nasha Jorgaqi","2","rafte",""
"1681","Fan Noli sic e kam njohur","Behar shtylla","10","rafte",""
"1682","Raca Shqiptare","jakov Miloi","6","rafte",""
"1683","Memento per Rugoven","Sabri Hamiti","10","rafte",""
"1684","Historia Boterore dhe qyteterimi 2","Karl Grimberg","2","rafte",""
"1685","Historia Boterore dhe qyteterimi 3","Karl Grimberg","1","rafte",""
"1686","Historia Boterore dhe qyteterimi 4","Karl Grimberg","1","rafte",""
"1687","Historia Boterore dhe qyteterimi 5","Karl Grimberg","2","rafte",""
"1688","Historia Boterore dhe qyteterimi 6","Karl Grimberg","1","rafte",""
"1689","Historia Boterore dhe qyteterimi 7","Karl Grimberg","2","rafte",""
"1690","Historia Boterore dhe qyteterimi 8","Karl Grimberg","1","rafte",""
"1691","Historia Boterore dhe qyteterimi 9","Karl Grimberg","1","rafte",""
"1692","Historia Boterore dhe qyteterimi 10","Karl Grimberg","1","rafte",""
"1693","Historia Boterore dhe qyteterimi 11","Karl Grimberg","2","rafte",""
"1694","Per Nenshkrimin e Historis shqiptare","N.Kulla-D.Thomallari","8","rafte",""
"1695","Lufta ne Shqiperi","Gian carlo fusco","10","rafte",""
"1696","Vilsoni dhe Genci","Sadik Bejko","9","rafte",""
"1697","Lufta ne Shqiperi","Gian Carlo Fusco","10","rafte",""
"1698","Per rishikimin e historis shqiptare","Ndricim kulla.Dritan Thomallari","8","rafte",""
"1699","Edward Lear ne shqiperi","Eduard lear","10","rafte",""
"1700","Visarion Xhuvani ne kishe,ne parlament ne burg","Visarion xhuvani","8","rafte",""
"1331","Di ta lexoj fytyrën","Liri Setillari","2","Dollapi 7",""
"1332","Rrjedh një lumë","Bajazit Gohani","2","Dollapi 7",""
"1333","Tri komedi","Spro Camora","5","Dollapi 7",""
"1334","Drama","Rruzhdi","3","Dollapi 7",""
"1335","Trimi vate Luli","Kolë Jakova","3","Dollapi 7",""
"1336","Profil","Liri Setillari","3","Dollapi 7",""
"1337","Toka jonë","Kolë Jakova","2","Dollapi 7",""
"1338","Lumi i dashurisë","Thoma Stejo","8","Dollapi 7",""
"1339","-","Llambro Ruçi","2","Dollapi 7",""
"1340","Burimi","Venera Ujko","9","Dollapi 7",""
"1341","Pres të jetoj","Eva Papamihali","2","Dollapi 7",""
"1342","Hapmë derën zonja mëmë","Venera Ujko","14","Dollapi 7",""
"1343","Mos hesht","Fatmir Terziu","22","Dollapi 7",""
"1344","Epoka para gjyqit","Ekrem Kryeziu","5","Dollapi 7",""
"1345","Luani I shtëpisë","Fadil Kraja","2","Dollapi 7",""
"1346","Përjetime","Zydi Zotaj","3","Dollapi 7",""
"1347","Autografe","Halit Shamata","3","Dollapi 7",""
"1348","Fisheku në pajë","Fadil Kraja","2","Dollapi 7",""
"1349","Mos më pyet ku kam qenë","Ilirian Zhupa","2","Dollapi 7",""
"1350","Im bir dhe rrezja e diellit","Mira Zaimasi","4","Dollapi 7",""
"1351","Pëllumbat e shkronjave","Naum Prifti","3","Dollapi 7",""
"1352","Shoku Niqifar","Pwllumb Kulla","3","Dollapi 7",""
"1353","Drama","Kolë Jakova","2","Dollapi 7",""
